date,max_wind_speed,mean_wind_speed,precipitation_height,precipitation_catgeory,mean_temperature,max_temperature,min_temperature
20231110,11.8,5.2,0.1,6,8.0,9.5,6.7
20231111,5.1,2.3,0.4,6,7.2,8.6,4.1
20231112,7.9,3.4,1.0,6,6.6,8.4,3.5
20231113,13.4,4.4,9.4,6,5.9,10.9,1.1
20231114,19.5,7.0,2.6,6,10.5,12.5,7.0
20231115,10.1,3.7,0.7,6,7.9,9.8,6.1
20231116,19.2,6.0,0.0,0,5.8,9.2,3.5
20231117,10.6,4.3,0.0,0,4.0,5.3,3.2
20231118,13.0,4.0,8.0,6,4.7,6.7,2.1
20231119,11.3,4.8,7.6,6,9.4,12.6,5.1
20231120,6.7,1.5,7.9,6,9.7,11.2,7.8
20231121,9.4,2.9,0.1,6,5.5,8.1,1.1
20231122,13.2,3.7,0.7,6,1.5,5.5,-2.8
20231123,20.6,8.2,7.3,6,9.3,12.1,5.5
20231124,14.9,5.7,4.9,8,3.8,6.6,1.2
20231125,13.0,3.2,1.0,8,1.9,5.8,-1.3
20231126,4.1,1.5,0.7,8,0.1,2.2,-3.8
20231127,11.8,4.8,3.9,8,1.3,2.4,-0.1
20231128,11.1,3.6,3.7,8,-1.1,0.4,-4.2
20231129,10.1,3.9,2.9,8,-1.0,1.1,-5.0
20231130,5.1,1.4,0.0,7,-3.0,-0.7,-6.2
20231201,4.1,1.6,1.3,8,-3.5,0.1,-8.5
20231202,5.1,1.6,0.2,8,-1.5,0.7,-2.4
20231203,6.7,2.3,0.0,0,-1.5,0.6,-3.8
20231204,9.8,4.7,1.8,8,-1.2,-0.2,-2.6
20231205,9.8,4.9,4.6,8,-1.2,-0.4,-2.3
20231206,5.7,2.1,0.0,8,0.0,0.4,-0.6
20231207,7.2,2.0,0.0,0,0.9,2.3,0.3
20231208,10.1,4.6,1.0,8,0.6,1.4,-0.3
20231209,13.7,4.9,9.0,6,3.7,5.2,1.0
20231210,11.7,4.6,10.4,6,6.9,8.5,4.4
20231211,8.7,3.3,9.1,6,7.7,9.9,5.9
20231212,9.3,2.5,5.9,6,5.8,6.4,5.3
20231213,10.6,5.2,0.3,6,4.4,5.7,3.4
20231214,7.5,2.6,0.0,6,3.2,4.5,-0.6
20231215,7.9,3.5,0.1,6,5.7,7.9,1.2
20231216,12.0,5.4,0.2,6,7.5,9.2,6.1
20231217,14.6,6.3,0.0,6,9.3,9.9,7.8
20231218,13.0,6.4,1.4,6,7.6,8.1,7.3
20231219,12.3,5.3,9.2,6,7.3,8.3,5.3
20231220,17.1,5.4,13.9,6,5.5,7.5,3.6
20231221,23.0,8.6,15.1,6,7.8,9.9,5.7
20231222,22.1,8.3,3.3,8,4.2,6.2,2.2
20231223,13.5,3.6,22.4,8,3.0,4.1,0.5
20231224,20.6,6.6,5.8,6,9.6,12.7,3.5
20231225,21.1,6.9,4.4,6,9.0,11.5,6.1
20231226,16.6,6.6,2.1,6,7.4,9.5,4.0
20231227,13.2,4.1,1.0,6,3.6,8.3,0.5
20231228,17.7,9.0,4.3,6,9.6,11.4,7.3
20231229,20.1,7.0,3.7,6,8.6,10.0,6.4
20231230,13.4,4.6,6.8,6,6.0,7.3,3.6
20231231,12.2,5.2,0.5,6,6.7,8.1,4.8
20240101,13.2,5.7,4.4,6,6.6,8.0,3.5
20240102,11.3,5.3,30.8,6,5.3,8.9,3.4
20240103,17.8,7.2,7.9,8,8.5,10.4,5.6
20240104,14.6,4.8,0.2,8,1.5,5.6,-0.3
20240105,12.3,5.7,5.6,8,-0.5,0.4,-1.1
20240106,10.3,5.5,2.3,8,-1.2,-0.7,-1.6
20240107,8.7,3.9,0.1,8,-1.9,-0.3,-3.7
20240108,11.8,4.4,0.0,0,-2.0,-0.3,-5.5
20240109,4.1,1.5,0.0,0,-5.7,-1.5,-9.1
20240110,6.7,2.3,0.0,0,-3.7,-2.3,-6.2
20240111,6.7,2.0,0.0,6,-1.2,1.7,-3.7
20240112,8.7,3.0,0.4,8,-0.1,3.7,-4.4
20240113,11.8,5.4,3.9,6,3.5,5.0,2.5
20240114,12.2,5.1,3.6,8,2.8,3.9,0.7
20240115,13.9,4.3,0.4,8,1.0,2.9,-1.4
20240116,11.8,4.5,0.8,7,-0.5,0.9,-2.1
20240117,12.2,4.7,0.0,8,-1.1,-0.1,-3.8
20240118,9.3,2.1,1.0,8,-1.9,2.2,-6.4
20240119,14.6,6.1,1.6,8,1.0,2.9,-1.2
20240120,12.0,6.1,0.0,0,1.7,3.9,-0.3
20240121,18.0,7.3,1.1,6,3.2,6.6,-0.2
20240122,19.9,8.5,5.9,6,8.3,10.2,5.6
20240123,19.0,7.4,12.6,6,6.9,8.1,5.2
20240124,22.8,10.8,0.6,6,9.7,12.0,7.1
20240125,16.5,5.6,0.0,6,6.5,7.7,3.5
20240126,23.3,7.1,6.7,6,7.1,10.3,5.2
20240127,11.8,4.3,0.0,0,4.9,7.9,1.3
20240128,9.3,3.8,0.0,0,3.1,8.1,-1.0
20240129,7.4,2.9,0.0,0,5.4,9.9,2.5
20240130,13.7,3.7,0.4,6,6.9,10.5,2.7
20240131,16.3,6.5,2.6,6,5.5,6.6,4.5
20240201,17.1,6.4,0.0,6,6.1,8.1,4.4
20240202,13.9,6.0,2.6,6,6.8,9.9,4.7
20240203,15.4,7.0,0.1,6,9.1,10.4,6.2
20240204,17.0,6.7,8.2,6,7.2,9.5,5.9
20240205,18.9,8.6,4.9,6,8.6,9.5,8.0
20240206,17.0,8.1,13.5,6,9.1,11.2,5.1
20240207,14.9,4.8,0.1,6,3.7,5.9,-0.5
20240208,8.9,2.9,1.9,8,1.6,4.4,-1.3
20240209,12.2,5.1,9.8,8,2.0,4.1,0.6
20240210,9.1,3.4,0.5,6,5.6,7.5,4.0
20240211,9.6,4.1,3.3,6,4.9,5.6,4.4
20240212,8.9,3.3,0.1,6,6.7,8.5,4.5
20240213,9.9,4.7,4.9,6,5.7,7.3,2.3
20240214,8.7,4.3,5.0,6,8.2,11.0,4.5
20240215,7.7,3.7,2.4,6,11.9,12.8,10.8
20240216,12.0,4.8,1.3,6,11.5,14.8,10.1
20240217,13.2,4.9,0.0,6,6.0,10.2,1.1
20240218,9.8,4.1,19.2,6,6.7,9.4,2.2
20240219,14.6,5.5,2.7,6,7.8,10.4,5.7
